client_id,datetime,code,type,amount,target,type_description,code_description
47937805,289 10:37:55,6011,2010,-8983.66,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
25519406,432 09:34:02,8999,1010,-17742.73,1,Покупка. POS ,"Профессиональные услуги, нигде ранее не классифицируемые"
87902560,27 11:23:51,4814,1030,-1122.96,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
61758325,209 12:59:33,6011,2010,-11229.58,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
84323633,183 12:56:58,6010,7071,4491.83,1,Перевод на карту (с карты) через Мобильный банк (с взиманием комиссии с отправителя),Финансовые институты — снятие наличности вручную
21264160,126 09:33:51,6011,2010,-112295.79,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
30848325,267 12:09:31,6011,2010,-22459.16,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
41227639,381 17:04:14,4829,2331,-22459.16,0,Списание с карты по операции “перевода с карты на карту” через АТМ (из одного ТБ в другой ТБ),Денежные переводы
89788126,408 15:22:49,5411,1010,-70409.46,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
4893642,436 09:37:29,6011,2010,-78607.05,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
62253980,77 18:48:29,6011,2010,-22459.16,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
13575882,443 22:01:47,6010,7070,2245.92,0,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
18872798,124 04:45:33,4829,2370,-1532.84,1,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (без комиссии),Денежные переводы
53307951,363 00:00:00,5661,1110,-22885.88,0,Покупка. POS ,Обувные магазины
11585045,90 19:28:11,4814,1030,-1122.96,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
76475250,91 13:20:36,6011,2010,-1347549.46,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
65895165,193 08:49:27,6010,7030,21336.2,0,Перевод на карту (с карты) через АТМ (в пределах одного тер.банка),Финансовые институты — снятие наличности вручную
78066879,345 20:57:01,5983,1010,-22452.64,1,Покупка. POS ,"Горючее топливо — уголь, нефть, разжиженный бензин, дрова"
43381506,424 16:02:58,5812,1010,-58169.22,0,Покупка. POS ,"Места общественного питания, рестораны"
96477182,422 19:47:08,5912,1010,-10465.97,0,Покупка. POS ,Аптеки
94426973,21 09:24:06,4829,4071,-673.77,1,Плата за перевод на карту (с карты) через Мобильный банк,Денежные переводы
48434170,441 21:36:02,6010,7070,2245.92,0,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
33743239,314 10:53:33,5411,1010,-102697.64,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
44349687,44 18:25:55,4814,1030,-1122.96,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
52674999,6 15:11:26,6010,7021,5951676.8,0,Взнос наличных через POS,Финансовые институты — снятие наличности вручную
34846340,49 19:03:50,6011,7010,300952.71,0,Взнос наличных через АТМ (в своем тер.банке),Финансовые институты — снятие наличности автоматически
33709652,4 10:23:46,4814,1030,-22459.16,1,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
25270793,279 15:33:58,6010,7030,13812.38,1,Перевод на карту (с карты) через АТМ (в пределах одного тер.банка),Финансовые институты — снятие наличности вручную
21376002,372 15:19:06,5311,1110,-1886.57,0,Покупка. POS ,Универмаги
77335574,115 13:56:56,4814,1030,-1347.55,1,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
6231503,106 00:00:00,5964,1200,-9705.73,0,Покупка. Зарубеж. ,Прямой маркетинг — торговля через каталог
64936619,69 00:00:00,7298,1110,-30319.86,0,Покупка. POS ,Центры здоровья
29801711,335 00:00:00,5411,1110,-35283.34,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
16810200,289 14:06:27,5977,1010,-3088.13,1,Покупка. POS ,Магазины косметики
27024566,181 17:22:54,4814,1030,-2201.0,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
58157369,262 20:45:41,5912,1010,-9915.72,1,Покупка. POS ,Аптеки
91301143,204 21:34:24,5411,1110,-11162.2,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
16920927,451 15:34:34,5411,1010,-3256.58,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
12746283,323 12:04:37,5411,1110,-13089.65,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
8610584,322 00:00:00,4900,1100,-62419.61,1,Покупка.,"Коммунальные услуги — электричество, газ, санитария, вода"
20857038,248 09:42:57,4829,2370,-33688.74,1,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (без комиссии),Денежные переводы
99414663,35 11:29:29,5411,1010,-13395.99,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
42093341,248 13:09:15,6010,7070,67377.47,1,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
11139526,408 11:14:06,4814,1030,-2245.92,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
57523145,252 09:46:43,4814,1030,-1122.96,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
81863717,300 14:59:44,4829,2370,-11229.58,0,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (без комиссии),Денежные переводы
82070267,20 17:48:29,5912,1010,-1760.8,1,Покупка. POS ,Аптеки
96626493,12 15:28:30,5411,1010,-23177.85,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
56075018,293 00:00:00,5964,1200,-21988.41,1,Покупка. Зарубеж. ,Прямой маркетинг — торговля через каталог
56694753,176 08:49:56,6010,7070,2245.92,1,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
8942066,315 08:05:54,6011,2010,-15721.41,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
31360931,204 00:00:00,5411,1110,-3514.86,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
85494965,273 00:00:00,5411,1110,-12970.16,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
58754755,126 13:11:13,5812,1110,-5614.79,1,Покупка. POS ,"Места общественного питания, рестораны"
20646461,30 17:04:56,5661,1010,-61762.68,1,Покупка. POS ,Обувные магазины
24644305,409 12:01:00,6010,7070,291969.05,0,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
94426973,170 12:42:08,4829,2371,-172171.9,0,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (с комиссией),Денежные переводы
97837122,314 08:21:43,6011,2010,-29196.91,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
7219212,206 14:45:07,6011,7010,449183.15,1,Взнос наличных через АТМ (в своем тер.банке),Финансовые институты — снятие наличности автоматически
65526075,303 09:31:25,6011,2010,-6737.75,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
94574329,456 19:06:44,5411,1110,-1163.38,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
35494033,175 06:15:35,6011,7010,999432.52,1,Взнос наличных через АТМ (в своем тер.банке),Финансовые институты — снятие наличности автоматически
23823898,449 00:00:00,5813,1110,-6737.75,0,Покупка. POS ,"Бары, коктейль-бары, дискотеки, ночные клубы и таверны — места продажи алкогольных напитков"
3743929,276 00:00:00,5074,1110,-33464.15,1,Покупка. POS ,Оборудование для водопровода и отопительной системы
78076605,422 00:00:00,5681,1110,-44918.32,1,Покупка. POS ,Изготовление и продажа меховых изделий
58970569,296 00:00:00,5411,1110,-2400.88,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
9897478,211 14:00:37,5499,1010,-6739.32,1,Покупка. POS ,"Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов"
60991319,406 15:19:12,6011,2010,-8983.66,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
87937371,304 11:53:58,5411,1010,-2239.18,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
65221973,456 00:00:00,5541,1110,-15362.06,0,Покупка. POS ,Станции техобслуживания
43018886,136 00:00:00,5912,1110,-6753.92,1,Покупка. POS ,Аптеки
3294989,447 17:45:13,4814,1030,-1122.96,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
69465540,309 00:00:00,5964,1200,-880.85,0,Покупка. Зарубеж. ,Прямой маркетинг — торговля через каталог
71256126,134 15:13:52,5411,1110,-14987.67,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
43506939,241 10:19:15,5331,1010,-1347.55,0,Покупка. POS ,Универсальные магазины
12854702,342 10:14:24,4829,4071,-269.51,1,Плата за перевод на карту (с карты) через Мобильный банк,Денежные переводы
85861930,430 07:47:58,6010,7070,7074.63,0,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
56000545,160 14:56:21,5912,1010,-667.04,0,Покупка. POS ,Аптеки
28954627,244 19:22:15,4814,1030,-4491.83,1,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
93533984,318 10:33:55,4829,2330,-336887.37,0,Списание с карты по операции “перевода с карты на карту” через АТМ (в пределах одного тер.банка),Денежные переводы
26604313,384 11:21:34,6011,7011,112295.79,0,Взнос наличных через АТМ,Финансовые институты — снятие наличности автоматически
36599781,306 11:30:15,5411,1010,-1684.21,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
94018403,262 15:23:28,5541,1110,-22459.16,0,Покупка. POS ,Станции техобслуживания
70665012,188 14:22:28,4814,1030,-6737.75,1,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
70780820,434 03:23:34,6010,7070,15092.55,0,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
74334566,187 16:36:30,6011,7010,134754.95,0,Взнос наличных через АТМ (в своем тер.банке),Финансовые институты — снятие наличности автоматически
70780820,288 05:43:22,6010,7071,14149.27,1,Перевод на карту (с карты) через Мобильный банк (с взиманием комиссии с отправителя),Финансовые институты — снятие наличности вручную
59120963,372 00:00:00,5311,6110,31397.9,0,Возврат покупки. POS ,Универмаги
81479825,28 14:00:41,5983,1010,-33363.75,0,Покупка. POS ,"Горючее топливо — уголь, нефть, разжиженный бензин, дрова"
70780820,262 11:09:18,6010,7070,5322.82,0,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
23188180,397 21:04:00,5331,1010,-1774.27,0,Покупка. POS ,Универсальные магазины
65309740,341 14:37:48,6010,7020,6737.75,1,Взнос наличных через POS,Финансовые институты — снятие наличности вручную
20852671,19 00:00:00,5943,1110,-13273.36,0,Покупка. POS ,"Магазины офисных, школьных принадлежностей, канцтоваров"
86227647,108 11:05:51,6011,2010,-44918.32,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
49543927,358 19:05:51,6011,2010,-8983.66,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
97968421,251 08:00:03,6010,7030,56147.89,1,Перевод на карту (с карты) через АТМ (в пределах одного тер.банка),Финансовые институты — снятие наличности вручную
76510478,172 08:31:52,4829,2371,-24907.21,1,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (с комиссией),Денежные переводы
13182172,230 20:11:41,6010,7070,13475.49,0,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
96275300,189 12:56:43,5331,1010,-1347.55,1,Покупка. POS ,Универсальные магазины
82247147,192 02:55:32,4814,1030,-6737.75,1,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
5987772,202 22:08:27,4814,1030,-1122.96,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
93798164,301 00:00:00,5541,1110,-11228.91,0,Покупка. POS ,Станции техобслуживания
59233664,231 15:30:00,4829,4051,-4491.83,0,Плата за перевод на карту (с карты) через АТМ (из одного ТБ в другой ТБ),Денежные переводы
2381924,340 00:00:00,8011,1110,-21111.61,0,Покупка. POS ,"Доктора, нигде ранее не классифицируемые"
2865095,88 00:00:00,5411,1110,-15889.85,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
58478564,213 12:12:03,5722,1010,-3031.99,0,Покупка. POS ,Бытовое оборудование
68530030,76 05:08:28,5812,1010,-1190.34,0,Покупка. POS ,"Места общественного питания, рестораны"
92326906,441 16:33:03,6011,2010,-65131.56,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
48355809,257 00:00:00,5411,1110,-19143.96,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
81173369,15 17:02:23,6011,2010,-40426.48,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
95335790,330 11:13:49,5411,1110,-671.53,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
26511631,456 11:52:15,5261,1110,-219827.99,0,Покупка. POS ,Садовые принадлежности (в том числе для ухода за газонами) в розницу
74259432,295 16:30:18,4814,1030,-1122.96,1,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
5932441,119 15:30:42,4829,2370,-22459.16,1,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (без комиссии),Денежные переводы
26422855,189 05:09:01,6011,7010,11229.58,1,Взнос наличных через АТМ (в своем тер.банке),Финансовые институты — снятие наличности автоматически
85781818,56 13:46:55,6011,2010,-673774.73,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
74250583,131 08:16:11,5499,1010,-1527.22,0,Покупка. POS ,"Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов"
1976337,320 14:55:16,5599,1110,-27198.04,0,Покупка. POS ,Продажа снегоходов
92692871,371 00:00:00,5691,1110,-22436.7,0,Покупка. POS ,Магазины мужской и женской одежды
23654718,349 00:00:00,5411,1110,-1619.31,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
70665012,381 00:00:00,6012,6110,53901.98,0,Возврат покупки. POS ,Финансовые институты — торговля и услуги
28565033,232 19:35:10,5499,1110,-8220.05,0,Покупка. POS ,"Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов"
50762315,407 10:19:53,4814,1030,-26950.99,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
44570920,199 21:26:10,4829,2330,-404264.84,0,Списание с карты по операции “перевода с карты на карту” через АТМ (в пределах одного тер.банка),Денежные переводы
86377597,178 13:18:52,5541,1110,-43068.35,1,Покупка. POS ,Станции техобслуживания
91128848,150 13:23:43,5499,1010,-10329.87,0,Покупка. POS ,"Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов"
34997570,315 14:05:04,4814,1030,-1122.96,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
6186589,299 15:31:60,4814,1030,-1347.55,1,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
82881815,316 17:15:25,5411,1010,-15800.02,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
41426070,251 00:00:00,5411,1110,-99316.87,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
22450434,413 04:48:06,6011,2010,-53901.98,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
450407,109 16:45:16,6010,7070,21336.2,1,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
76770632,393 14:00:25,4814,1030,-6737.75,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
9497605,96 00:00:00,5732,1110,-77484.09,0,Покупка. POS ,Продажа электронного оборудования
81673597,263 10:25:18,7311,1100,-6962.34,0,Покупка.,Рекламные услуги
84203354,308 19:59:36,5541,1010,-7344.14,1,Покупка. POS ,Станции техобслуживания
18501812,92 10:14:23,6011,2010,-31442.82,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
13324952,31 15:13:40,4814,1030,-1122.96,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
11691762,228 00:00:00,5411,1110,-8736.61,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
49220108,350 00:00:00,5411,1110,-2243.67,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
69396837,60 13:56:27,6011,2010,-110049.87,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
76606773,314 06:12:30,5541,1010,-11225.31,0,Покупка. POS ,Станции техобслуживания
92794277,3 20:03:19,5631,1110,-8467.1,1,Покупка. POS ,Аксессуары для женщин
49914960,284 15:10:26,6011,7010,179673.26,0,Взнос наличных через АТМ (в своем тер.банке),Финансовые институты — снятие наличности автоматически
17518271,413 09:01:60,6010,7070,29107.07,0,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
79206023,334 12:58:20,6011,2010,-2245.92,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
97187090,77 15:47:13,4814,1030,-19090.28,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
82382602,385 15:04:26,6011,2010,-112295.79,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
54888680,415 13:24:01,6010,7070,4559.21,1,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
26358410,349 11:38:50,5411,1110,-10730.99,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
45099272,89 14:09:29,5411,1110,-1537.33,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
25537795,363 18:18:21,6011,2010,-22459.16,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
9045235,289 19:49:00,6011,2010,-44918.32,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
63299169,85 12:53:53,5983,1010,-11701.22,0,Покупка. POS ,"Горючее топливо — уголь, нефть, разжиженный бензин, дрова"
94209253,58 14:09:05,5499,1010,-5277.9,0,Покупка. POS ,"Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов"
70391198,269 13:49:23,6011,2010,-22459.16,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
86738648,7 19:05:59,4814,1030,-2245.92,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
58979178,5 19:00:59,5411,1110,-2209.98,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
75360806,252 08:30:16,4829,2370,-134754.95,1,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (без комиссии),Денежные переводы
94050884,419 12:33:07,6011,2010,-67377.47,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
95803225,267 11:43:37,4814,1030,-1122.96,1,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
58283353,319 15:49:48,6011,2010,-211116.08,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
10377190,393 00:00:00,5211,1110,-7119.55,0,Покупка. POS ,Лесо- и строительный материал
5115320,227 11:47:26,6011,2010,-11229.58,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
3484785,311 09:17:60,4814,1030,-2245.92,1,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
46882226,383 12:52:23,6011,2010,-168443.68,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
24505439,254 16:43:21,4814,1030,-898.37,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
1699717,149 17:31:60,5311,1110,-11117.28,0,Покупка. POS ,Универмаги
22970531,270 16:56:18,4814,1030,-7433.98,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
1764918,420 11:35:14,5912,1010,-2290.83,0,Покупка. POS ,Аптеки
22383843,114 19:59:53,5411,1010,-2448.05,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
14001176,441 19:34:10,6011,2010,-11229.58,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
36622596,125 13:32:58,6010,7030,11229.58,1,Перевод на карту (с карты) через АТМ (в пределах одного тер.банка),Финансовые институты — снятие наличности вручную
82235884,96 17:10:31,6010,7070,8451.38,1,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
32550221,186 11:09:10,5411,1110,-36075.92,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
73534440,41 16:15:56,6010,7030,6417.26,1,Перевод на карту (с карты) через АТМ (в пределах одного тер.банка),Финансовые институты — снятие наличности вручную
73110554,38 22:22:01,5411,1110,-2582.8,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
14205771,231 09:09:10,6011,2010,-22459.16,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
16214146,291 15:03:53,4814,1030,-224.59,1,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
98362353,224 00:00:00,5499,1110,-4572.68,0,Покупка. POS ,"Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов"
69705338,315 15:31:42,5814,1010,-28523.13,1,Покупка. POS ,"Рестораны, закусочные"
4879397,67 15:55:02,4814,1030,-6737.75,1,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
75211941,203 11:48:49,6010,7071,636492.53,1,Перевод на карту (с карты) через Мобильный банк (с взиманием комиссии с отправителя),Финансовые институты — снятие наличности вручную
31236013,334 18:21:06,5411,1010,-2133.62,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
24497218,147 10:02:14,4814,1030,-44918.32,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
27636980,197 09:31:23,6011,2010,-11229.58,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
19309943,348 13:04:19,6011,2011,-8983.66,1,Выдача наличных в АТМ банка (в других ТБ),Финансовые институты — снятие наличности автоматически
20336527,366 00:00:00,5411,1110,-3997.51,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
86695282,168 17:42:29,6011,2010,-5614.79,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
78214402,202 20:37:23,5411,1110,-143334.34,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
